"Team","year","team","Payroll","tenmilplayers","W.L.","MarketSize","playersto50","adjServiceTime","payrollMil","adjServiceTimeSq","playersto50sq","payrollsq","tenmilplayerssq","Playoffs"
"Chicago White Sox",2016,"CHA",133485667,5,0.481,"Medium",5,5.62093023255814,133.485667,31.5948566792861,25,17818.4232944349,25,0
"Chicago White Sox",2017,"CHA",120628500,5,0.414,"Medium",5,4.38023255813953,120.6285,19.1864372633856,25,14551.23501225,25,0
"Chicago White Sox",2018,"CHA",84695000,2,0.383,"Medium",3,3.47,84.695,12.0409,9,7173.243025,4,0
"Chicago White Sox",2019,"CHA",97226000,1,0.447,"Medium",5,4.63023255813953,97.226,21.4390535424553,25,9452.895076,1,0
"Cincinnati Reds",2012,"CIN",80902667,3,0.599,"Medium",4,4.51860465116279,80.902667,20.41778799351,16,6545.24152771289,9,1
"Cincinnati Reds",2013,"CIN",106266533,3,0.556,"Medium",5,4.89116279069767,106.266533,23.9234734451054,25,11292.5760358401,9,1
"Cincinnati Reds",2014,"CIN",110157439,4,0.469,"Medium",6,5.29511627906977,110.157439,28.0382564088697,36,12134.6613670387,16,0
"Cincinnati Reds",2015,"CIN",111346453,5,0.395,"Medium",5,5.48372093023256,111.346453,30.0711952406707,25,12398.0325956812,25,0
"Cincinnati Reds",2016,"CIN",95435728,4,0.42,"Medium",3,3.72023255813953,95.435728,13.8401302866414,9,9107.97817888998,16,0
"Cincinnati Reds",2017,"CIN",90348786,2,0.42,"Medium",3,3.84418604651163,90.348786,14.7777663601947,9,8162.9031316738,4,0
"Cincinnati Reds",2018,"CIN",103167500,3,0.414,"Medium",3,3.96906976744186,103.1675,15.753514818821,9,10643.53305625,9,0
"Cincinnati Reds",2019,"CIN",157218214,4,0.463,"Medium",5,5.60720930232558,157.218214,31.4407961600865,25,24717.5668133498,16,0
"Cleveland Indians",2012,"CLE",61097400,2,0.42,"Small",3,3.78093023255814,61.0974,14.2954334234722,9,3732.89228676,4,0
"Cleveland Indians",2013,"CLE",85582733,1,0.568,"Small",6,5.85860465116279,85.582733,34.3232484586263,36,7324.40418774929,1,1
"Cleveland Indians",2014,"CLE",83785200,3,0.525,"Small",4,4.52953488372093,83.7852,20.5166862628448,16,7019.95973904,9,0
"Cleveland Indians",2015,"CLE",93687101,2,0.503,"Small",5,4.71139534883721,93.687101,22.1972461330449,25,8777.2728937842,4,0
"Cleveland Indians",2016,"CLE",93362800,1,0.584,"Small",6,5.66558139534884,93.3628,32.0988125473229,36,8716.61242384,1,1
"Cleveland Indians",2017,"CLE",129068066,3,0.63,"Small",6,5.77976744186047,129.068066,33.4057116819903,36,16658.5656609804,9,1
"Cleveland Indians",2018,"CLE",161938698,6,0.562,"Small",6,6.37139534883721,161.938698,40.5946786911844,36,26224.1419099352,36,1
"Cleveland Indians",2019,"CLE",128495032,5,0.574,"Small",4,4.96906976744186,128.495032,24.6916543537047,16,16510.973248681,25,0
"Colorado Rockies",2012,"COL",91654571,2,0.395,"Small",6,6.77627906976744,91.654571,45.9179580313683,36,8400.56038519404,4,0
"Colorado Rockies",2013,"COL",71744071,3,0.457,"Small",4,5.0753488372093,71.744071,25.7591658193618,16,5147.21172365304,9,0
"Colorado Rockies",2014,"COL",106081071,4,0.407,"Small",5,5.58255813953488,106.081071,31.1649553812871,25,11253.193624507,16,0
"Colorado Rockies",2015,"COL",116717171,4,0.42,"Small",3,5.36883720930233,116.717171,28.8244129799892,9,13622.8980062432,16,0
"Colorado Rockies",2016,"COL",88611071,2,0.463,"Small",5,4.84674418604651,88.611071,23.4909292049756,25,7851.92190376704,4,0
"Colorado Rockies",2017,"COL",108823571,2,0.537,"Small",5,5.06604651162791,108.823571,25.6648272579773,25,11842.569605192,4,1
"Colorado Rockies",2018,"COL",137657500,5,0.558,"Small",4,4.80790697674419,137.6575,23.1159694970255,16,18949.58730625,25,1
"Colorado Rockies",2019,"COL",151407500,5,0.438,"Small",4,5.34232558139535,151.4075,28.5404426176312,16,22924.23105625,25,0
"Detroit Tigers",2012,"DET",131970000,3,0.543,"Small",4,5.32697674418605,131.97,28.376681233099,16,17416.0809,9,1
"Detroit Tigers",2013,"DET",152245000,5,0.574,"Small",4,6.17558139534884,152.245,38.1378055705787,16,23178.540025,25,1
"Detroit Tigers",2014,"DET",187353500,9,0.556,"Small",6,6.1453488372093,187.3535,37.7653123309897,36,35101.33396225,81,1
"Detroit Tigers",2015,"DET",175902450,8,0.46,"Small",5,5.44488372093023,175.90245,29.646758734451,25,30941.6719160025,64,0
"Detroit Tigers",2016,"DET",200280500,7,0.534,"Small",5,6.10883720930233,200.2805,37.3178920497567,25,40112.27868025,49,0
"Detroit Tigers",2017,"DET",179714500,8,0.395,"Small",4,5.49697674418605,179.7145,30.2167533261223,16,32297.30151025,64,0
"Detroit Tigers",2018,"DET",113812600,3,0.395,"Small",3,4.31046511627907,113.8126,18.5801095186587,9,12953.30791876,9,0
"Detroit Tigers",2019,"DET",103208400,2,0.292,"Small",2,4.16976744186046,103.2084,17.3869605191995,4,10651.97383056,4,0
"Houston Astros",2012,"HOU",65355500,3,0.34,"Medium",3,3.47139534883721,65.3555,12.0505856679286,9,4271.34138025,9,0
"Houston Astros",2013,"HOU",20636800,0,0.315,"Medium",6,2.80232558139535,20.6368,7.85302866414279,36,425.87751424,0,0
"Houston Astros",2014,"HOU",44102900,1,0.432,"Medium",3,2.88139534883721,44.1029,8.30243915630071,9,1945.06578841,1,0
"Houston Astros",2015,"HOU",92859100,2,0.531,"Medium",5,5.09162790697674,92.8591,25.9246747431043,25,8622.81245281,4,1
"Houston Astros",2016,"HOU",93397100,1,0.519,"Medium",5,4.04813953488372,93.3971,16.3874336938886,25,8723.01828841,1,0
"Houston Astros",2017,"HOU",181427966,6,0.623,"Medium",6,5.67488372093023,181.427966,32.2043052460789,36,32916.1068468972,36,1
"Houston Astros",2018,"HOU",178764200,6,0.636,"Medium",6,5.49139534883721,178.7642,30.1554228772309,36,31956.63920164,36,1
"Houston Astros",2019,"HOU",210622500,8,0.66,"Medium",6,6.01325581395349,210.6225,36.1592454840455,36,44361.83750625,64,1
