"Team","year","team","Payroll","tenmilplayers","W.L.","MarketSize","playersto50","adjServiceTime","payrollMil","adjServiceTimeSq","playersto50sq","payrollsq","tenmilplayerssq","Playoffs"
"Seattle Mariners",2017,"SEA",176326643,7,0.481,"Medium",5,5.65860465116279,176.326643,32.0198065981612,25,31091.0850316494,49,0
"Seattle Mariners",2018,"SEA",180949943,7,0.549,"Medium",5,6.75767441860465,180.949943,45.6661635478637,25,32742.8818717032,49,0
"Seattle Mariners",2019,"SEA",146731173,6,0.42,"Medium",4,4.76116279069767,146.731173,22.668671119524,16,21530.0371299559,36,0
"St. Louis Cardinals",2012,"SLN",114897500,4,0.543,"Large",5,5.95209302325581,114.8975,35.4274113574905,25,13201.43550625,16,1
"St. Louis Cardinals",2013,"SLN",105348000,4,0.599,"Large",4,4.63906976744186,105.348,21.5209683071931,16,11098.201104,16,1
"St. Louis Cardinals",2014,"SLN",139693500,5,0.556,"Large",5,5.33302325581395,139.6935,28.4411370470524,25,19514.27394225,25,1
"St. Louis Cardinals",2015,"SLN",140681000,4,0.617,"Large",5,5.6393023255814,140.681,31.8017307193078,25,19791.143761,16,1
"St. Louis Cardinals",2016,"SLN",134337000,6,0.531,"Large",5,5.09418604651163,134.337,25.9507314764738,25,18046.429569,36,0
"St. Louis Cardinals",2017,"SLN",148075733,6,0.512,"Large",5,5.36279069767442,148.075733,28.7595240670633,25,21926.4227034873,36,0
"St. Louis Cardinals",2018,"SLN",158942667,6,0.543,"Large",5,5.07651162790698,158.942667,25.7709703082748,25,25262.7713930729,36,0
"St. Louis Cardinals",2019,"SLN",152639067,8,0.562,"Large",5,5.24209302325581,152.639067,27.4795392644672,25,23298.6847746305,64,1
"Tampa Bay Rays",2012,"TBA",64810500,0,0.556,"Small",6,4.17651162790698,64.8105,17.4432493780422,36,4200.40091025,0,0
"Tampa Bay Rays",2013,"TBA",62964375,1,0.564,"Small",6,5.70558139534884,62.964375,32.5536590589508,36,3964.51251914062,1,1
"Tampa Bay Rays",2014,"TBA",80387884,2,0.475,"Small",5,4.99,80.387884,24.9001,25,6462.21189399746,4,0
"Tampa Bay Rays",2015,"TBA",70834234,1,0.494,"Small",5,4.16651162790698,70.834234,17.3598191454841,25,5017.48870636676,1,0
"Tampa Bay Rays",2016,"TBA",62375192,1,0.42,"Small",5,3.86744186046512,62.375192,14.9571065440779,25,3890.66457703686,1,0
"Tampa Bay Rays",2017,"TBA",92790000,1,0.494,"Small",7,5.32906976744186,92.79,28.3989845862628,49,8609.9841,1,0
"Tampa Bay Rays",2018,"TBA",69062033,2,0.556,"Small",5,3.70395348837209,69.062033,13.7192714440238,25,4769.56440209309,4,0
"Tampa Bay Rays",2019,"TBA",55235767,1,0.593,"Small",4,2.76093023255814,55.235767,7.62273574905355,16,3050.98995607829,1,1
"Texas Rangers",2012,"TEX",137202000,4,0.574,"Medium",5,5.14488372093023,137.202,26.4698285018929,25,18824.388804,16,1
"Texas Rangers",2013,"TEX",134335300,6,0.558,"Medium",6,6.08744186046512,134.3353,37.056948404543,36,18045.97282609,36,0
"Texas Rangers",2014,"TEX",133127924,5,0.414,"Medium",4,5.13302325581395,133.127924,26.3479277447268,16,17723.0441485498,25,0
"Texas Rangers",2015,"TEX",204705200,9,0.543,"Medium",5,5.78093023255814,204.7052,33.4191543537047,25,41904.21890704,81,1
"Texas Rangers",2016,"TEX",187266070,8,0.586,"Medium",5,6.04720930232558,187.26607,36.568740346133,25,35068.5809732449,64,1
"Texas Rangers",2017,"TEX",158914283,7,0.481,"Medium",5,5.96348837209302,158.914283,35.5631935640887,25,25253.7493414041,49,0
"Texas Rangers",2018,"TEX",128038426,4,0.414,"Medium",4,5.49511627906977,128.038426,30.1963029204976,16,16393.8385325575,16,0
"Texas Rangers",2019,"TEX",104385500,2,0.481,"Medium",4,6.03837209302326,104.3855,36.4619375338021,16,10896.33261025,4,0
"Toronto Blue Jays",2012,"TOR",86890000,1,0.451,"Medium",7,5.94418604651163,86.89,35.3333477555436,49,7549.8721,1,0
"Toronto Blue Jays",2013,"TOR",118049600,4,0.457,"Medium",6,6.80302325581395,118.0496,46.2811254191454,36,13935.70806016,16,0
"Toronto Blue Jays",2014,"TOR",130889400,4,0.512,"Medium",5,5.86348837209302,130.8894,34.3804958896701,25,17132.03503236,16,0
"Toronto Blue Jays",2015,"TOR",165617100,7,0.574,"Medium",5,6.56604651162791,165.6171,43.112966792861,25,27429.02381241,49,1
"Toronto Blue Jays",2016,"TOR",186763467,10,0.549,"Medium",7,7.47953488372093,186.763467,55.9434420767983,49,34880.5926058601,100,1
"Toronto Blue Jays",2017,"TOR",193224066,9,0.469,"Medium",6,7.14,193.224066,50.9796,36,37335.5396815724,81,0
"Toronto Blue Jays",2018,"TOR",145287671,5,0.451,"Medium",5,5.52046511627907,145.287671,30.4755351000541,25,21108.5073446042,25,0
"Toronto Blue Jays",2019,"TOR",65739071,0,0.414,"Medium",6,4.38906976744186,65.739071,19.2639334234721,36,4321.62545594304,0,0
"Washington Nationals",2012,"WAS",89222929,3,0.605,"Medium",4,5.31813953488372,89.222929,28.2826081124932,16,7960.73105933904,9,1
"Washington Nationals",2013,"WAS",121514679,5,0.531,"Medium",5,4.75302325581395,121.514679,22.5912300703082,25,14765.817212473,25,0
"Washington Nationals",2014,"WAS",151816429,5,0.593,"Medium",6,5.65441860465116,151.816429,31.9724497566252,36,23048.228114312,25,1
"Washington Nationals",2015,"WAS",180143886,9,0.512,"Medium",6,5.84581395348837,180.143886,34.1735407787993,36,32451.819663181,81,0
"Washington Nationals",2016,"WAS",155079986,6,0.586,"Medium",5,6.23511627906977,155.079986,38.8766750135209,25,24049.8020577602,36,1
"Washington Nationals",2017,"WAS",184185785,9,0.599,"Medium",6,7.1606976744186,184.185785,51.2755911844239,36,33924.4033960662,81,1
"Washington Nationals",2018,"WAS",199013656,9,0.506,"Medium",6,6.45813953488372,199.013656,41.7075662520281,36,39606.4352744863,81,0
"Washington Nationals",2019,"WAS",207488895,5,0.574,"Medium",4,8.00372093023256,207.488895,64.0595487290428,16,43051.641548321,25,1
